X, Y, Z
1.3515625, 0.8515625, 0.4921875
1.3515625, 0.6171875, 0.4296875
1.3828125, 0.328125, 0.3125
1.1875, 0.375, 0.1796875
1.734375, 0.3125, 0.3203125
1.3125, 0.6796875, 0.3203125
1.3828125, 0.5390625, 0.5234375
1.515625, 0.5234375, 0.2578125
1.5703125, -0.0390625, 0.3203125
1.484375, 0.6875, 0.1484375
1.359375, 0.4375, 0.3203125
1.1640625, 0.703125, 0.3984375
1.53125, 0.6015625, 0.1796875
1.2421875, 0.5234375, 0.3671875
1.0546875, 0.453125, 0.4296875
1.6796875, 0.453125, 0.25
1.0078125, 0.5390625, 0.4375
1.6484375, 0.5859375, 0.2109375
1.2421875, 0.4296875, 0.2890625
1.59375, 0.5, 0.3515625
1.6015625, 0.5625, 0.4921875
1.1796875, 0.4609375, 0.0625
1.5703125, 0.375, 0.2109375
1.1640625, 0.5859375, 0.3828125
0.9140625, 0.265625, 0.0390625
1.3515625, 0.8359375, 0.1796875
1.15625, 0.5546875, 0.296875
1.625, 0.6484375, 0.4921875
1.203125, 0.75, 0.2265625
1.5703125, 0.5390625, 0.1640625
