X, Y, Z
-27.700000000000003, -20.8, 9.9
-27.700000000000003, -20.200000000000003, 12.4
-28.1, -20.0, 11.3
-28.8, -20.5, 11.3
-27.900000000000002, -20.1, 12.100000000000001
-27.900000000000002, -21.0, 13.0
-27.900000000000002, -20.400000000000002, 12.8
-28.1, -20.0, 11.8
-28.6, -20.3, 12.100000000000001
-28.3, -19.700000000000003, 10.9
-28.700000000000003, -20.6, 11.200000000000001
-28.700000000000003, -20.0, 11.700000000000001
-28.700000000000003, -20.5, 11.4
-28.3, -20.200000000000003, 12.3
-29.0, -20.3, 11.5
-28.1, -20.400000000000002, 10.9
-27.8, -19.900000000000002, 12.200000000000001
-27.8, -20.5, 12.3
-27.5, -19.3, 11.700000000000001
-28.3, -20.3, 12.4
-28.1, -20.400000000000002, 12.100000000000001
-29.200000000000003, -20.0, 11.700000000000001
-28.200000000000003, -20.400000000000002, 12.0
-28.1, -20.0, 12.3
-27.900000000000002, -20.1, 11.9
-28.900000000000002, -20.700000000000003, 11.8
-28.1, -20.200000000000003, 12.200000000000001
-27.700000000000003, -19.700000000000003, 12.0
-28.200000000000003, -20.0, 12.3
-28.3, -19.5, 12.0
